"case 0"
0 1.00 0.00 1.00 0.00
1 0.00 0.00 1.00 0.00
2 0.00 0.00 1.00 0.00
3 0.00 0.00 1.00 0.00
4 0.00 0.00 1.00 0.00
5 0.00 0.00 1.00 0.00
6 0.00 0.00 1.00 0.00
7 0.00 0.00 1.00 0.00
8 0.00 0.00 1.00 0.00
9 0.00 0.00 1.00 0.00


"case 1"
0 0.00 0.00 2.00 0.00
1 1.00 0.00 1.81 -0.59
2 0.00 0.00 1.31 -0.95
3 0.00 0.00 0.69 -0.95
4 0.00 0.00 0.19 -0.59
5 0.00 0.00 0.00 -0.00
6 0.00 0.00 0.19 0.59
7 0.00 0.00 0.69 0.95
8 0.00 0.00 1.31 0.95
9 0.00 0.00 1.81 0.59


"case 2"
0 0.00 0.00 3.00 0.00
1 0.00 0.00 2.12 -1.54
2 1.00 0.00 0.50 -1.54
3 0.00 0.00 -0.12 -0.36
4 0.00 0.00 0.50 0.36
5 0.00 0.00 1.00 0.00
6 0.00 0.00 0.50 -0.36
7 0.00 0.00 -0.12 0.36
8 0.00 0.00 0.50 1.54
9 0.00 0.00 2.12 1.54


"case 3"
0 0.00 0.00 4.00 0.00
1 0.00 0.00 1.81 -2.49
2 0.00 0.00 -0.31 -0.95
3 1.00 0.00 0.69 0.22
4 0.00 0.00 0.81 -0.59
5 0.00 0.00 0.00 -0.00
6 0.00 0.00 0.81 0.59
7 0.00 0.00 0.69 -0.22
8 0.00 0.00 -0.31 0.95
9 0.00 0.00 1.81 2.49


"case 4"
0 0.00 0.00 5.00 0.00
1 0.00 0.00 1.00 -3.08
2 0.00 0.00 -0.00 -0.00
3 0.00 0.00 1.00 -0.73
4 1.00 0.00 0.00 -0.00
5 0.00 0.00 1.00 0.00
6 0.00 0.00 0.00 -0.00
7 0.00 0.00 1.00 0.73
8 0.00 0.00 0.00 -0.00
9 0.00 0.00 1.00 3.08


"case 5"
0 0.00 0.00 6.00 0.00
1 0.00 0.00 0.00 -3.08
2 0.00 0.00 1.00 0.00
3 0.00 0.00 0.00 -0.73
4 0.00 0.00 1.00 0.00
5 1.00 0.00 0.00 -0.00
6 0.00 0.00 1.00 0.00
7 0.00 0.00 -0.00 0.73
8 0.00 0.00 1.00 0.00
9 0.00 0.00 -0.00 3.08


"case 6"
0 0.00 0.00 7.00 0.00
1 0.00 0.00 -0.81 -2.49
2 0.00 0.00 1.31 -0.95
3 0.00 0.00 0.31 0.22
4 0.00 0.00 0.19 -0.59
5 0.00 0.00 1.00 0.00
6 1.00 0.00 0.19 0.59
7 0.00 0.00 0.31 -0.22
8 0.00 0.00 1.31 0.95
9 0.00 0.00 -0.81 2.49


"case 7"
0 0.00 0.00 8.00 0.00
1 0.00 0.00 -1.12 -1.54
2 0.00 0.00 0.50 -1.54
3 0.00 0.00 1.12 -0.36
4 0.00 0.00 0.50 0.36
5 0.00 0.00 0.00 -0.00
6 0.00 0.00 0.50 -0.36
7 1.00 0.00 1.12 0.36
8 0.00 0.00 0.50 1.54
9 0.00 0.00 -1.12 1.54


"case 8"
0 0.00 0.00 9.00 0.00
1 0.00 0.00 -0.81 -0.59
2 0.00 0.00 -0.31 -0.95
3 0.00 0.00 0.31 -0.95
4 0.00 0.00 0.81 -0.59
5 0.00 0.00 1.00 0.00
6 0.00 0.00 0.81 0.59
7 0.00 0.00 0.31 0.95
8 1.00 0.00 -0.31 0.95
9 0.00 0.00 -0.81 0.59


"case 9"
0 0.00 0.00 10.00 0.00
1 0.00 0.00 -0.00 0.00
2 0.00 0.00 -0.00 -0.00
3 0.00 0.00 -0.00 -0.00
4 0.00 0.00 0.00 -0.00
5 0.00 0.00 0.00 -0.00
6 0.00 0.00 0.00 -0.00
7 0.00 0.00 -0.00 0.00
8 0.00 0.00 0.00 -0.00
9 1.00 0.00 0.00 0.00


